brand_n,avg_nutriscore
"M&M'S,Mars,Mars Chocolat",36.0
Golden Temple,30.0
"Roundy'S,  Roundy'S Supermarkets",30.0
Mrs Filbert’S,28.0
Madelaine Chocolate Novelties  Inc,28.0
Baraboo Candy Company  Llc,27.0
Gazebo Room,27.0
Kinder,26.25
"Lindt,Lindt Excellent",26.0
"Lindt,  Polo Leathergoods",26.0
The Hershey Comp.,26.0
Whoppers,25.666666
Lindt & Sprungli Gmbh,25.636364
"The Hershey Company, Leaf  Inc.",25.5
Leaf  Inc.,25.0
Portland Specialty Baking,25.0
Heidel,25.0
Book Dynamics,25.0
"Marks & Spencer,Disney",25.0
Baraboo Candy,25.0
"Lindt,Excellence",25.0
"The Kroger Co.,Private Selectoin",25.0
"Bulksupplements.Com, Achter Hof",25.0
"Ritter Sport,  Alfred Ritter Gmbh & Co",25.0
"Signature,  Lindt & Sprungli (Schweiz) Ag",25.0
"Signature,  Lindt & Sprungli (Usa) Inc",25.0
Meiji Seika (S) Pte Ltd,25.0
Lindt & Sprungli,24.6
Lindt Lindor,24.5
Better Ideas,24.5
Fresh,24.5
"Lindt, Lindt & Sprungli Sas",24.5
"Lindt,Lindor",24.4
Ginbis Four Sea Foods (Shantou) Co .Ltd.,24.0
Jewel Osco,24.0
Heidel Confiserie,24.0
Kamoi Shokuhin Kogyo Co.  Ltd.,24.0
Lindt & Sprungli Sas,24.0
The Madelaine Chocolate Company,24.0
Indianola Pecan House Inc.,24.0
Long Grove Confectionery,24.0
Sorini,24.0
Sorini Italia,24.0
Storz Chocolade,24.0
Storz,24.0
Truicoco,24.0
Lindt & Sprungli (Schweiz) Ag,23.9
"Lindt,  Lindt & Sprungli (Schweiz) Ag",23.813953
Long Grove Confectionery Co.,23.72
Confiserie Heidel,23.666666
"Lindt,  Lindt & Sprungli Gmbh",23.4
Lindt,23.365854
"Jewel Osco,  Long Grove Confectionery Co.",23.333334
Madelaine Chocolate Novelties,23.307692
Croco,23.0
Van Or Kamp'S,23.0
Cookies,23.0
Long Grove Chocolates,23.0
"Two Bite,  Bakery Fresh Goodness",23.0
Ferrero Rocher,22.5
Golden Island Jerky Inc.,22.5
"Ferrero,  Ferrero Rocher",22.333334
Roundys Supermarket,22.333334
"Lindt,  Lindt & Sprungli (Usa) Inc.",22.285715
"Private Selections,Kroger",22.0
Chipmates Candy,22.0
Lindt & Sprungli Inc.,22.0
Farmhouse Biscuits Ltd.,22.0
Ferrero,22.0
Nutella Ferrero,22.0
Lucky Shing Co.  Ltd.,22.0
Amand Terroir,22.0
Kuchenmeister,22.0
