product,n_ingredient,n_additives
http://www.graphle.com/foodOntology#cheese-danish-strip-11110836465,128,34
http://www.graphle.com/foodOntology#pizza-11110864185,127,20
http://www.graphle.com/foodOntology#kroger-three-meat-single-serve-pizza-11110864192,125,21
http://www.graphle.com/foodOntology#minute-microwave-supreme-pizza-11110803917,125,20
http://www.graphle.com/foodOntology#chicken-salad-on-a-croissant-11110111067,124,21
http://www.graphle.com/foodOntology#pals-combination-pizza-11110864178,121,19
http://www.graphle.com/foodOntology#combination-sausage-pepperoni-minute-microwave-pizza-11110803818,120,20
http://www.graphle.com/foodOntology#santa-fe-style-with-chicken-salad-kit-for-one-11110917348,120,16
http://www.graphle.com/foodOntology#turkey-bacon-cobb-wrap-11110111036,117,25
http://www.graphle.com/foodOntology#12-slice-variety-cheesecake-chocolate-chip-raspberry-white-chocolate-fudge-brownie-blueberry-swirl-vanilla-bean-caramel-turtle-chocolate-raspberry-swirl-new-york-style-chocolate-cherry-chocolate-marble-strawberry-swirl-10374402225,116,28
http://www.graphle.com/foodOntology#party-variety-cheesecake-10374420335,116,27
http://www.graphle.com/foodOntology#stuffed-tilapia-with-crabmeat-and-shrimp-10389573101,116,15
http://www.graphle.com/foodOntology#chicken-bacon-salad-11110111173,115,22
http://www.graphle.com/foodOntology#cobb-salad-with-chicken-bacon-11110180520,114,27
http://www.graphle.com/foodOntology#apple-cinnamon-rolls-11110086853,113,25
http://www.graphle.com/foodOntology#kroger-pumpkin-spice-cake-11110131706,112,27
http://www.graphle.com/foodOntology#pals-pizza-11110864161,111,18
http://www.graphle.com/foodOntology#cheese-flavored-corn-sticks-pretzels-rice-crackers-rye-chips-honey-roasted-sesame-sticks-garlic-breadsticks-snack-fusion-traditional-blend-cheese-11110036728,110,13
http://www.graphle.com/foodOntology#danish-11110790897,110,31
http://www.graphle.com/foodOntology#variety-cheesecake-10374162051,110,25
http://www.graphle.com/foodOntology#boneless-wyngz-11110818119,109,16
http://www.graphle.com/foodOntology#ham-cheese-stuffed-sandwich-11110824851,109,21
http://www.graphle.com/foodOntology#turkey-bacon-cobb-wrap-11110180360,109,25
http://www.graphle.com/foodOntology#variety-cheesecake-10374420656,109,23
http://www.graphle.com/foodOntology#chicken-sausage-gumbo-11110658500,108,6
http://www.graphle.com/foodOntology#stuffed-flounder-10389576409,108,11
http://www.graphle.com/foodOntology#the-fathers-table-winter-variety-cheesecake-10374162754,107,23
http://www.graphle.com/foodOntology#chicken-pot-pie-11110111364,106,12
http://www.graphle.com/foodOntology#gourmet-cinnamon-roll-11110023537,105,24
http://www.graphle.com/foodOntology#gumbo-sauce-10654054991,105,18
http://www.graphle.com/foodOntology#gourmet-cinnamon-roll-maple-11110023544,104,22
http://www.graphle.com/foodOntology#cheese-cinnamon-roll-11110086839,103,26
http://www.graphle.com/foodOntology#cinnamon-roll-11110086846,103,24
http://www.graphle.com/foodOntology#fruit-grain-cereal-bars-11110869906,103,25
http://www.graphle.com/foodOntology#seafood-crab-cakes-11029400931,103,13
