package,n_packages
http://www.graphle.com/foodOntology#plastic,135
http://www.graphle.com/foodOntology#bag,44
http://www.graphle.com/foodOntology#cardboard,35
http://www.graphle.com/foodOntology#box,22
http://www.graphle.com/foodOntology#glass,18
http://www.graphle.com/foodOntology#metal,13
http://www.graphle.com/foodOntology#tray,12
http://www.graphle.com/foodOntology#jar,10
http://www.graphle.com/foodOntology#paper,9
http://www.graphle.com/foodOntology#bottle,9
http://www.graphle.com/foodOntology#can,8
http://www.graphle.com/foodOntology#squeeze-bottle,5
http://www.graphle.com/foodOntology#film,4
http://www.graphle.com/foodOntology#card,4
http://www.graphle.com/foodOntology#bottle-cap,4
http://www.graphle.com/foodOntology#pouch-flask,4
http://www.graphle.com/foodOntology#aluminium,3
http://www.graphle.com/foodOntology#recyclable-metals,3
http://www.graphle.com/foodOntology#food-can,3
http://www.graphle.com/foodOntology#hdpe-2-high-density-polyethylene,2
http://www.graphle.com/foodOntology#unknown,2
http://www.graphle.com/foodOntology#pot,2
http://www.graphle.com/foodOntology#lid,2
http://www.graphle.com/foodOntology#ldpe-4-low-density-polyethylene,1
http://www.graphle.com/foodOntology#packaging,1
http://www.graphle.com/foodOntology#cellophane,1
http://www.graphle.com/foodOntology#wrapper,1
http://www.graphle.com/foodOntology#vial,1
http://www.graphle.com/foodOntology#envelope,1
http://www.graphle.com/foodOntology#packet,1
http://www.graphle.com/foodOntology#drink-can,1
