foodgroup,avg_kcal
http://www.graphle.com/foodOntology#fats,628.53656
http://www.graphle.com/foodOntology#nuts,583.0231
http://www.graphle.com/foodOntology#chocolate-products,553.3096
http://www.graphle.com/foodOntology#appetizers,475.68484
http://www.graphle.com/foodOntology#sweets,428.21902
http://www.graphle.com/foodOntology#biscuits-and-cakes,416.3181
http://www.graphle.com/foodOntology#pastries,357.15582
http://www.graphle.com/foodOntology#breakfast-cereals,352.8866
http://www.graphle.com/foodOntology#cereals,343.802
http://www.graphle.com/foodOntology#dried-fruits,329.65283
http://www.graphle.com/foodOntology#cheese,309.8897
http://www.graphle.com/foodOntology#offals,308.0
http://www.graphle.com/foodOntology#salty-and-fatty-products,291.95978
http://www.graphle.com/foodOntology#processed-meat,287.98807
http://www.graphle.com/foodOntology#bread,283.02472
http://www.graphle.com/foodOntology#pizza-pies-and-quiches,269.75375
http://www.graphle.com/foodOntology#potatoes,253.58905
http://www.graphle.com/foodOntology#ice-cream,238.18219
http://www.graphle.com/foodOntology#plant-based-milk-substitutes,234.13094
http://www.graphle.com/foodOntology#meat-other-than-poultry,231.78065
http://www.graphle.com/foodOntology#sandwiches,230.82715
http://www.graphle.com/foodOntology#cereals-and-potatoes,218.0
http://www.graphle.com/foodOntology#dressings-and-sauces,193.59953
http://www.graphle.com/foodOntology#legumes,187.92189
http://www.graphle.com/foodOntology#fish-and-seafood,177.91954
http://www.graphle.com/foodOntology#one-dish-meals,154.55045
http://www.graphle.com/foodOntology#poultry,149.76442
http://www.graphle.com/foodOntology#sweetened-beverages,147.41058
http://www.graphle.com/foodOntology#fatty-fish,146.77689
http://www.graphle.com/foodOntology#eggs,141.86667
http://www.graphle.com/foodOntology#dairy-desserts,128.67142
http://www.graphle.com/foodOntology#vegetables,107.15746
http://www.graphle.com/foodOntology#fruits,88.41043
http://www.graphle.com/foodOntology#milk-and-yogurt,88.21796
http://www.graphle.com/foodOntology#artificially-sweetened-beverages,83.84613
http://www.graphle.com/foodOntology#lean-fish,79.0
http://www.graphle.com/foodOntology#alcoholic-beverages,75.0
http://www.graphle.com/foodOntology#fruits-and-vegetables,37.145275
http://www.graphle.com/foodOntology#unsweetened-beverages,34.27369
http://www.graphle.com/foodOntology#soups,34.0
